level	label
helsinki_region	Helsingin seutu
helsinki_cbd	Helsingin kantakaupunki
helsinki_other	Muu Helsinki
espoo_vant_kau	Muu pääkaupunkiseutu
surround_train	Junaliikenteen kehyskunnat
surround_other	Bussiliikenteen kehyskunnat
peripheral	Ympäryskunnat
